video,matcher,frame_start,frame_end,rotation_error_deg,translation_error_deg,num_matches,num_inliers,mean_reprojection_error_px
sigmoid_t3_a,ensemble_topfrac0.2_thresh5,0,1,0.5183239561550682,20.44588847251079,178,178,33.02485543652207
sigmoid_t3_a,ensemble_topfrac0.2_thresh5,1,2,0.2753634214416088,29.552075804123227,249,249,4.545089567180048
sigmoid_t3_a,ensemble_topfrac0.2_thresh5,2,3,0.12202718980323415,25.90638699241702,311,311,27.54047620590063
sigmoid_t3_a,ensemble_topfrac0.2_thresh5,3,4,0.06759939708973749,31.600042526733755,277,277,15.106488738442478
sigmoid_t3_a,ensemble_topfrac0.2_thresh5,4,5,0.11412346817950543,38.30506372936016,184,184,11.683559839808082
sigmoid_t3_a,ensemble_topfrac0.2_thresh5,5,6,0.1010943176398435,39.95485783259683,145,145,17.20626254911094
sigmoid_t3_a,ensemble_topfrac0.2_thresh5,6,7,0.16212612687907269,42.166682357914674,189,189,14.740320518957859
sigmoid_t3_a,ensemble_topfrac0.2_thresh5,7,8,0.19942839580468297,47.29217731420975,256,256,1.8130889921500006
sigmoid_t3_a,ensemble_topfrac0.2_thresh5,8,9,0.325555261314094,57.551779789475596,319,319,15.530189763154763
sigmoid_t3_a,ensemble_topfrac0.2_thresh5,9,10,0.33726432298978093,41.0054209674371,369,369,27.43534978455853
sigmoid_t3_a,ensemble_topfrac0.2_thresh5,10,11,0.0879980058428556,79.63585312317173,365,365,20.183820046479084
sigmoid_t3_a,ensemble_topfrac0.2_thresh5,11,12,0.5457118065189486,89.54521851164495,182,182,39.41609115599865
sigmoid_t3_a,ensemble_topfrac0.2_thresh5,12,13,0.779293430009069,88.70633062385173,177,177,39.47991944456611
sigmoid_t3_a,ensemble_topfrac0.2_thresh5,13,14,0.25861966607279485,86.28134594176902,289,289,37.69358166712655
sigmoid_t3_a,ensemble_topfrac0.2_thresh5,14,15,0.15640651461888086,88.02830044133083,502,502,3.7798147115141063
sigmoid_t3_a,ensemble_topfrac0.2_thresh5,15,16,0.4036008123252365,82.66639860914503,263,263,43.16273919055001
sigmoid_t3_a,ensemble_topfrac0.2_thresh5,16,17,1.465312594355512,87.56278906838124,182,182,61.831390091427075
sigmoid_t3_a,ensemble_topfrac0.2_thresh5,17,18,0.17120546334594247,83.56453143358794,549,549,7.586056645536149
sigmoid_t3_a,ensemble_topfrac0.2_thresh5,18,19,0.09309886541330332,68.85365318157933,799,799,32.77044656681538
