video,matcher,frame_start,frame_end,rotation_error_deg,translation_error_deg,num_matches,num_inliers,mean_reprojection_error_px
seq4,ensemble_topfrac0.5_thresh5,0,2,23.590048001908055,90.0,15,15,0.0
seq4,ensemble_topfrac0.5_thresh5,2,3,49.5306116423972,90.0,14,14,0.0
seq4,ensemble_topfrac0.5_thresh5,3,8,33.90647923453539,90.0,7,7,0.0
seq4,ensemble_topfrac0.5_thresh5,8,9,61.18519772302036,90.0,137,137,0.0
seq4,ensemble_topfrac0.5_thresh5,9,12,174.74306278703506,90.0,6,6,0.0
seq4,ensemble_topfrac0.5_thresh5,12,14,94.97711935918356,90.0,7,7,0.0
seq4,ensemble_topfrac0.5_thresh5,14,15,25.46554571945392,90.0,9,9,0.0
seq4,ensemble_topfrac0.5_thresh5,15,16,46.75853395048215,90.0,24,24,0.0
seq4,ensemble_topfrac0.5_thresh5,16,17,71.6833750518516,90.0,11,11,0.0
seq4,ensemble_topfrac0.5_thresh5,17,18,21.8903265304379,90.0,27,27,0.0
seq4,ensemble_topfrac0.5_thresh5,18,19,28.63840701537466,90.0,17,17,0.0
seq4,ensemble_topfrac0.5_thresh5,19,20,46.18733535598695,90.0,20,20,0.0
seq4,ensemble_topfrac0.5_thresh5,20,21,32.52095235375957,90.0,10,10,0.0
seq4,ensemble_topfrac0.5_thresh5,21,23,49.66024594122605,90.0,9,9,0.0
seq4,ensemble_topfrac0.5_thresh5,23,25,42.26872706612656,90.0,14,14,0.0
seq4,ensemble_topfrac0.5_thresh5,25,26,29.44731203316208,90.0,68,68,0.0
seq4,ensemble_topfrac0.5_thresh5,26,27,179.06672884624405,90.0,8,8,0.0
seq4,ensemble_topfrac0.5_thresh5,27,30,36.46159222886739,90.0,61,61,0.0
seq4,ensemble_topfrac0.5_thresh5,30,34,88.23742041576996,90.0,27,27,0.0
seq4,ensemble_topfrac0.5_thresh5,34,35,36.94964808793391,90.0,256,256,0.0
seq4,ensemble_topfrac0.5_thresh5,35,36,25.324223821710426,90.0,336,336,0.0
seq4,ensemble_topfrac0.5_thresh5,36,37,36.63875982898243,90.0,322,322,0.0
seq4,ensemble_topfrac0.5_thresh5,37,38,14.787551431108362,90.0,767,767,0.0
seq4,ensemble_topfrac0.5_thresh5,38,39,7.654464620061764,90.0,204,204,0.0
seq4,ensemble_topfrac0.5_thresh5,39,40,21.97765317299916,90.0,19,19,0.0
seq4,ensemble_topfrac0.5_thresh5,40,42,22.07595307850572,90.0,68,68,0.0
seq4,ensemble_topfrac0.5_thresh5,42,43,23.312242158614463,90.0,126,126,0.0
seq4,ensemble_topfrac0.5_thresh5,43,44,7.106696561511915,90.0,284,284,0.0
seq4,ensemble_topfrac0.5_thresh5,44,45,10.404347445791402,90.0,440,440,0.0
seq4,ensemble_topfrac0.5_thresh5,45,46,14.923798552528453,90.0,256,256,0.0
seq4,ensemble_topfrac0.5_thresh5,47,52,60.266954501591805,90.0,14,14,0.0
seq4,ensemble_topfrac0.5_thresh5,52,53,46.560019917169356,90.0,44,44,0.0
seq4,ensemble_topfrac0.5_thresh5,53,54,30.00583124633466,90.0,294,294,0.0
seq4,ensemble_topfrac0.5_thresh5,54,58,73.11504075714237,90.0,10,10,0.0
seq4,ensemble_topfrac0.5_thresh5,58,62,85.28303244394085,90.0,6,6,0.0
seq4,ensemble_topfrac0.5_thresh5,62,63,11.85123476864477,90.0,14,14,0.0
seq4,ensemble_topfrac0.5_thresh5,63,64,63.35262386489123,90.0,47,47,0.0
seq4,ensemble_topfrac0.5_thresh5,64,65,75.13149722192556,90.0,39,39,0.0
seq4,ensemble_topfrac0.5_thresh5,65,66,17.736547532225845,90.0,170,170,0.0
seq4,ensemble_topfrac0.5_thresh5,66,68,84.54956269224792,90.0,36,36,0.0
seq4,ensemble_topfrac0.5_thresh5,68,69,15.232908273957486,90.0,53,53,0.0
