frame_start,frame_end,skipped_frames,skip_used,success,reason
0,2.0,[1],2.0,True,
2,4.0,[3],2.0,True,
4,5.0,[],1.0,True,
5,7.0,[6],2.0,True,
7,9.0,[8],2.0,True,
9,10.0,[],1.0,True,
10,11.0,[],1.0,True,
11,15.0,"[12, 13, 14]",4.0,True,
15,16.0,[],1.0,True,
16,17.0,[],1.0,True,
17,18.0,[],1.0,True,
18,19.0,[],1.0,True,
19,20.0,[],1.0,True,
20,24.0,"[21, 22, 23]",4.0,True,
24,25.0,[],1.0,True,
25,27.0,[26],2.0,True,
27,28.0,[],1.0,True,
28,29.0,[],1.0,True,
29,30.0,[],1.0,True,
30,31.0,[],1.0,True,
31,32.0,[],1.0,True,
32,33.0,[],1.0,True,
33,35.0,[34],2.0,True,
35,36.0,[],1.0,True,
36,37.0,[],1.0,True,
37,38.0,[],1.0,True,
38,40.0,[39],2.0,True,
40,41.0,[],1.0,True,
41,44.0,"[42, 43]",3.0,True,
44,45.0,[],1.0,True,
45,46.0,[],1.0,True,
46,47.0,[],1.0,True,
47,48.0,[],1.0,True,
48,49.0,[],1.0,True,
49,50.0,[],1.0,True,
50,51.0,[],1.0,True,
51,,"[52, 53, 54, 55, 56]",,False,Pose estimation failed
52,,"[53, 54, 55, 56, 57]",,False,Pose estimation failed
53,55.0,[54],2.0,True,
55,56.0,[],1.0,True,
56,57.0,[],1.0,True,
57,58.0,[],1.0,True,
58,59.0,[],1.0,True,
59,60.0,[],1.0,True,
60,63.0,"[61, 62]",3.0,True,
63,66.0,"[64, 65]",3.0,True,
66,67.0,[],1.0,True,
67,68.0,[],1.0,True,
68,69.0,[],1.0,True,
69,70.0,[],1.0,True,
70,71.0,[],1.0,True,
71,72.0,[],1.0,True,
72,73.0,[],1.0,True,
73,74.0,[],1.0,True,
74,75.0,[],1.0,True,
75,80.0,"[76, 77, 78, 79]",5.0,True,
80,81.0,[],1.0,True,
81,82.0,[],1.0,True,
82,86.0,"[83, 84, 85]",4.0,True,
86,87.0,[],1.0,True,
87,89.0,[88],2.0,True,
89,,"[90, 91, 92, 93, 94]",,False,Pose estimation failed
90,91.0,[],1.0,True,
91,92.0,[],1.0,True,
92,93.0,[],1.0,True,
93,97.0,"[94, 95, 96]",4.0,True,
97,,"[98, 99, 100, 101, 102]",,False,Pose estimation failed
98,102.0,"[99, 100, 101]",4.0,True,
102,103.0,[],1.0,True,
103,104.0,[],1.0,True,
104,105.0,[],1.0,True,
105,106.0,[],1.0,True,
106,107.0,[],1.0,True,
107,108.0,[],1.0,True,
108,109.0,[],1.0,True,
109,110.0,[],1.0,True,
110,111.0,[],1.0,True,
111,112.0,[],1.0,True,
112,113.0,[],1.0,True,
113,114.0,[],1.0,True,
114,115.0,[],1.0,True,
115,116.0,[],1.0,True,
116,117.0,[],1.0,True,
117,118.0,[],1.0,True,
118,119.0,[],1.0,True,
119,121.0,[120],2.0,True,
121,122.0,[],1.0,True,
122,123.0,[],1.0,True,
123,124.0,[],1.0,True,
124,125.0,[],1.0,True,
125,126.0,[],1.0,True,
126,127.0,[],1.0,True,
127,128.0,[],1.0,True,
128,129.0,[],1.0,True,
129,130.0,[],1.0,True,
130,131.0,[],1.0,True,
131,,"[132, 133, 134, 135, 136]",,False,Pose estimation failed
132,,"[133, 134, 135, 136, 137]",,False,Pose estimation failed
133,134.0,[],1.0,True,
134,135.0,[],1.0,True,
135,136.0,[],1.0,True,
136,137.0,[],1.0,True,
137,,"[138, 139, 140, 141, 142]",,False,Pose estimation failed
138,139.0,[],1.0,True,
139,140.0,[],1.0,True,
140,141.0,[],1.0,True,
141,143.0,[142],2.0,True,
143,144.0,[],1.0,True,
144,,"[145, 146, 147, 148, 149]",,False,Pose estimation failed
145,146.0,[],1.0,True,
146,147.0,[],1.0,True,
147,151.0,"[148, 149, 150]",4.0,True,
151,152.0,[],1.0,True,
152,,"[153, 154, 155, 156, 157]",,False,Pose estimation failed
153,,"[154, 155, 156, 157]",,False,Pose estimation failed
154,155.0,[],1.0,True,
155,156.0,[],1.0,True,
156,,[157],,False,Pose estimation failed
