frame_start,frame_end,skipped_frames,skip_used,success,reason
0,1.0,[],1.0,True,
1,2.0,[],1.0,True,
2,4.0,[3],2.0,True,
4,5.0,[],1.0,True,
5,6.0,[],1.0,True,
6,7.0,[],1.0,True,
7,,[8],,False,Pose estimation failed
