frame_start,frame_end,skipped_frames,skip_used,success,reason
0,,"[1, 2, 3, 4, 5]",,False,Pose estimation failed
1,2.0,[],1.0,True,
2,3.0,[],1.0,True,
3,5.0,[4],2.0,True,
5,6.0,[],1.0,True,
6,7.0,[],1.0,True,
7,8.0,[],1.0,True,
8,9.0,[],1.0,True,
9,14.0,"[10, 11, 12, 13]",5.0,True,
14,15.0,[],1.0,True,
