frame_start,frame_end,skipped_frames,skip_used,success,reason
0,1.0,[],1.0,True,
1,2.0,[],1.0,True,
2,3.0,[],1.0,True,
3,,"[4, 5, 6]",,False,Pose estimation failed
4,,"[5, 6]",,False,Pose estimation failed
5,,[6],,False,Pose estimation failed
