matcher,rotation_error_deg_mean,rotation_error_deg_std,translation_error_deg_mean,translation_error_deg_std,mean_reprojection_error_px_mean,mean_reprojection_error_px_std,ATE_mean,ATE_std,failure_rate,avg_skip_used
ensemble_topfrac0.2_thresh3,1.1923194484511275,6.236002023573281,49.36816573491359,24.4542840186142,34.55376988466013,113.18481253007097,7.980118294356722,6.748377640275384,0.008185434911777622,1.0409110871561464
ensemble_topfrac0.2_thresh5,0.8501682130126414,4.284046438253814,49.38657525121356,24.533163977251046,28.163517145722654,80.76016392284991,8.30785987035808,6.978677718756621,0.012522281639928697,1.0431018257105213
ensemble_topfrac0.7_thresh5,0.656853173773346,2.8405325997047473,49.337662161168296,24.632217451582033,25.380332161834303,36.67832094018419,9.403360894095032,12.231287014465483,0.004946524064171123,1.0226390813841406
ensemble_topfrac0.3_thresh3,1.1306334130774955,6.482741109379627,48.9750131684184,25.012159692568687,70.05607207502794,689.1962934945803,10.144094344350021,14.948395023819756,0.00267379679144385,1.0212682300132894
ensemble_topfrac0.3_thresh1,1.1445699220127632,6.53381156949287,49.242132062848974,25.2251238293796,70.71944309039324,694.7117608554855,10.285878588494148,14.237368998441761,0.012522281639928697,1.0334353558167786
ensemble_topfrac0.7_thresh1,0.6843094272617845,3.053037892606315,49.3631271752582,24.59656157931534,25.24241922875333,40.29263653588692,10.367437668117715,14.900219399711736,0.006209150326797386,1.0213403800854393
ensemble_topfrac0.3_thresh5,0.849770994024965,4.587057072920623,48.971265658130605,24.806417330877277,63.726267645958195,684.4213204849094,10.376449915076924,14.297028988966472,0.004946524064171123,1.0251643339093932
ensemble_topfrac0.5_thresh3,0.5567080625984209,1.874269983819882,49.169249267311415,24.582728733111843,23.437042230066996,22.073539955809785,10.409296874738189,13.798801571365907,0.004946524064171123,1.0247051970866201
ensemble_topfrac0.5_thresh1,0.5597741467400918,1.8774299722432048,49.375059224416454,24.931001445351573,23.2323183838271,22.08595770751096,10.586043120751732,14.976054780426306,0.004946524064171123,1.0267713127890994
ensemble_topfrac0.7_thresh3,0.6949855102462661,3.1246461587964087,49.289584862406066,24.57199262201878,25.53716108162005,41.554183206376806,10.612080513335693,15.055447562503645,0.004946524064171123,1.0265991364805593
ensemble_topfrac0.2_thresh1,1.2056388859210045,6.2280980662289,49.73573273770867,24.579748893346753,34.534624506542535,113.02120726354936,10.724065605823618,14.660279088306853,0.006175025292672351,1.0414702502153095
ensemble_topfrac0.5_thresh5,0.5649870392211055,1.8526101627790084,49.00938192619405,24.714394830231292,23.458315535395066,22.61394816526044,11.048607039494431,14.991888935415338,0.004946524064171123,1.0226390813841406
